Query-mutant-straina;Query- strain-bnumberb;Recipient-mutant-strain;bnumber-of-recipient-mutant-strain;Strain-Versionsc;Essentiality;Functional-Association;S;Z;LOG(Q/R)
sufS;b1680;yffI;b2438;Isolate 2;non-essential;No functional association with STRING;-3.983;-4.572;-2.1793
sufS;b1680;fdx;b2525;Isolate 1;non-essential;No functional association with STRING;-11.421;-13.111;-9.9893
sufS;b1680;fdx;b2525;Isolate 2;non-essential;No functional association with STRING;-10.720;-12.597;-11.5534
sufS;b1680;iscU;b2529;Isolate 1;non-essential;Functional association with STRING;-6.159;-6.989;-9.9893
sufS;b1680;iscS;b2530;Isolate 2;non-essential;Functional association with STRING;-4.052;-4.655;-11.5534
sufS;b1680;yfjO;b2631;Isolate 1;non-essential;No functional association with STRING;-3.738;-4.172;-2.3688
sufS;b1680;purH;b4006;Isolate 1;non-essential;No functional association with STRING;-3.602;-4.014;-2.2714
sufS;b1680;purH;b4006;Isolate 2;non-essential;No functional association with STRING;-8.679;-10.166;-4.1844
sufS;b1680;blr;b4409;Isolate 1;non-essential;No functional association with STRING;-4.051;-4.536;-1.8138
sufD;b1681;aroM;b0390;Isolate 1;non-essential;No functional association with STRING;-5.756;-5.911;-3.0672
sufD;b1681;cysB;b1275;Isolate 1;non-essential;No functional association with STRING;-4.699;-4.793;-8.2354
sufD;b1681;ydfG;b1539;Isolate 2;non-essential;No functional association with STRING;-3.902;-4.078;-2.0243
sufD;b1681;ydfC;b1573;Isolate 1;non-essential;No functional association with STRING;-8.151;-8.442;-3.7945
sufD;b1681;ydfC;b1573;Isolate 2;non-essential;No functional association with STRING;-3.979;-4.161;-2.1535
sufD;b1681;ydgT;b1625;Isolate 1;non-essential;No functional association with STRING;-6.436;-6.629;-3.0411
sufD;b1681;ydhJ;b1644;Isolate 1;non-essential;No functional association with STRING;-4.078;-4.137;-2.6327
sufD;b1681;ydhJ;b1644;Isolate 2;non-essential;No functional association with STRING;-5.104;-5.395;-2.7460
sufD;b1681;ydhL;b1648;Isolate 1;non-essential;No functional association with STRING;-3.981;-4.034;-1.7890
sufD;b1681;ydhL;b1648;Isolate 2;non-essential;No functional association with STRING;-4.815;-5.078;-1.7807
sufD;b1681;nlpC;b1708;Isolate 1;non-essential;No functional association with STRING;-7.493;-7.747;-3.6045
sufD;b1681;btuD;b1709;Isolate 1;non-essential;No functional association with STRING;-8.376;-8.680;-9.4154
sufD;b1681;btuD;b1709;Isolate 2;non-essential;No functional association with STRING;-5.271;-5.579;-3.0272
sufD;b1681;ydiY;b1722;Isolate 2;non-essential;No functional association with STRING;-5.112;-5.404;-2.1007
sufD;b1681;pfkB;b1723;Isolate 2;non-essential;No functional association with STRING;-9.472;-10.185;-4.1271
sufD;b1681;chbG;b1733;Isolate 2;non-essential;No functional association with STRING;-5.713;-6.063;-2.6764
sufD;b1681;chbF;b1734;Isolate 2;non-essential;No functional association with STRING;-13.701;-14.821;-10.4963
sufD;b1681;astE;b1744;Isolate 2;non-essential;No functional association with STRING;-4.109;-4.305;-2.5654
sufD;b1681;ynjE;b1757;Isolate 2;non-essential;No functional association with STRING;-4.129;-4.326;-2.2100
sufD;b1681;ydjI;b1773;Isolate 1;non-essential;No functional association with STRING;-5.235;-5.360;-3.0452
sufD;b1681;yeaR;b1797;Isolate 2;non-essential;No functional association with STRING;-5.962;-6.336;-2.9932
sufD;b1681;yebA;b1856;Isolate 2;non-essential;No functional association with STRING;-6.117;-6.506;-2.3715
sufD;b1681;mdtC;b2076;Isolate 2;non-essential;No functional association with STRING;-4.476;-4.707;-2.4386
sufD;b1681;fdx;b2525;Isolate 1;non-essential;No functional association with STRING;-11.421;-11.899;-10.4517
sufD;b1681;fdx;b2525;Isolate 2;non-essential;No functional association with STRING;-10.720;-11.553;-10.9164
sufD;b1681;hscB;b2527;Isolate 2;non-essential;No functional association with STRING;-9.613;-10.339;-10.6936
sufD;b1681;iscU;b2529;Isolate 1;non-essential;Functional association with STRING;-6.159;-6.337;-10.4517
sufD;b1681;iscS;b2530;Isolate 2;non-essential;Functional association with STRING;-4.052;-4.241;-10.9164
sufD;b1681;purL;b2557;Isolate 2;non-essential;No functional association with STRING;-4.093;-4.287;-2.7512
sufD;b1681;srlA;b2702;Isolate 2;non-essential;No functional association with STRING;-5.871;-6.236;-2.9477
sufD;b1681;srlE;b2703;Isolate 1;non-essential;No functional association with STRING;-4.626;-4.717;-2.7531
sufD;b1681;glnG;b3868;Isolate 1;non-essential;No functional association with STRING;-5.586;-5.730;-2.9162
sufD;b1681;yjhB;b4279;Isolate 1;non-essential;No functional association with STRING;-4.520;-4.604;-2.2075
sufD;b1681;yjhC;b4280;Isolate 1;non-essential;No functional association with STRING;-5.298;-5.427;-2.4474
sufC;b1682;rnt;b1652;Isolate 1;non-essential;No functional association with STRING;-8.199;-7.314;-3.9420
sufC;b1682;btuD;b1709;Isolate 2;non-essential;No functional association with STRING;-5.075;-4.066;-3.7397
sufC;b1682;pfkB;b1723;Isolate 2;non-essential;No functional association with STRING;-7.719;-6.257;-10.7862
sufC;b1682;ydjQ;b1741;Isolate 1;non-essential;No functional association with STRING;-7.055;-6.276;-10.7023
sufC;b1682;ruvA;b1861;Isolate 1;non-essential;No functional association with STRING;-5.202;-4.595;-9.4474
sufC;b1682;ruvC;b1863;Isolate 1;non-essential;No functional association with STRING;-4.668;-4.110;-6.6177
sufC;b1682;fdx;b2525;Isolate 1;non-essential;No functional association with STRING;-24.989;-22.549;-10.7023
sufC;b1682;fdx;b2525;Isolate 2;non-essential;No functional association with STRING;-23.476;-19.312;-10.7862
sufC;b1682;iscU;b2529;Isolate 1;non-essential;No functional association with STRING;-13.411;-12.044;-10.7023
sufC;b1682;iscS;b2530;Isolate 2;non-essential;Functional association with STRING;-8.876;-7.216;-10.7862
sufB;b1683;lpd;b0116;Isolate 1;non-essential;No functional association with STRING;-5.751;-7.534;-7.8775
sufB;b1683;lpd;b0116;Isolate 2;non-essential;No functional association with STRING;-5.592;-7.071;-2.7920
sufB;b1683;mdlB;b0449;Isolate 1;non-essential;No functional association with STRING;-3.229;-4.165;-11.2632
sufB;b1683;ybhC;b0772;Isolate 2;non-essential;No functional association with STRING;-13.511;-17.179;-11.2440
sufB;b1683;rpmI;b1717;Isolate 1;non-essential;No functional association with STRING;-3.125;-4.026;-1.9127
sufB;b1683;ccmC;b2199;Isolate 1;non-essential;No functional association with STRING;-7.297;-9.601;-11.2632
sufB;b1683;fdx;b2525;Isolate 1;non-essential;No functional association with STRING;-11.421;-15.111;-11.2632
sufB;b1683;fdx;b2525;Isolate 2;non-essential;No functional association with STRING;-10.720;-13.616;-11.2440
sufB;b1683;hscB;b2527;Isolate 2;non-essential;No functional association with STRING;-9.000;-11.420;-11.2440
sufB;b1683;iscU;b2529;Isolate 1;non-essential;Functional association with STRING;-6.159;-8.080;-11.2632
sufB;b1683;iscS;b2530;Isolate 2;non-essential;Functional association with STRING;-4.052;-5.104;-11.2440
sufB;b1683;ubiH;b2907;Isolate 1;non-essential;No functional association with STRING;-8.825;-11.642;-3.4199
sufB;b1683;folB;b3058;Isolate 2;non-essential;No functional association with STRING;-7.656;-9.705;-11.2440
sufB;b1683;yjbH;b4029;Isolate 1;non-essential;No functional association with STRING;-3.232;-4.169;-1.5754
sufA;b1684;dcuC;b0621;Isolate 2;non-essential;No functional association with STRING;-3.411;-4.443;-1.0932
sufA;b1684;ydgI;b1605;Isolate 2;non-essential;No functional association with STRING;-3.509;-4.574;-3.9780
sufA;b1684;slyB;b1641;Isolate 1;non-essential;No functional association with STRING;-9.992;-13.595;-4.2167
sufA;b1684;rnt;b1652;Isolate 1;non-essential;No functional association with STRING;-5.542;-7.489;-4.4095
sufA;b1684;ihfA;b1712;Isolate 1;non-essential;No functional association with STRING;-4.019;-5.400;-2.2884
sufA;b1684;ihfA;b1712;Isolate 2;non-essential;No functional association with STRING;-6.521;-8.610;-3.4144
sufA;b1684;pfkB;b1723;Isolate 1;non-essential;No functional association with STRING;-5.048;-6.811;-1.9890
sufA;b1684;fliP;b1948;Isolate 2;non-essential;No functional association with STRING;-4.161;-5.448;-2.3385
sufA;b1684;ccmC;b2199;Isolate 1;non-essential;No functional association with STRING;-7.296;-9.895;-10.4669
sufA;b1684;nuoM;b2277;Isolate 2;non-essential;No functional association with STRING;-3.120;-4.053;-2.9835
sufA;b1684;nuoK;b2279;Isolate 2;non-essential;No functional association with STRING;-7.113;-9.402;-3.0848
sufA;b1684;nuoI;b2281;Isolate 1;non-essential;No functional association with STRING;-4.037;-5.424;-3.4802
sufA;b1684;nuoH;b2282;Isolate 1;non-essential;No functional association with STRING;-8.212;-11.152;-10.4669
sufA;b1684;nuoF;b2284;Isolate 1;non-essential;No functional association with STRING;-6.510;-8.817;-10.4669
sufA;b1684;fdx;b2525;Isolate 1;non-essential;Functional association with STRING;-3.726;-4.997;-2.4917
sufA;b1684;fdx;b2525;Isolate 2;non-essential;Functional association with STRING;-7.560;-10.001;-3.9395
sufA;b1684;iscA;b2528;Isolate 1;non-essential;No functional association with STRING;-9.969;-13.562;-3.9917
sufA;b1684;yhaB;b3120;Isolate 2;non-essential;No functional association with STRING;-9.871;-13.097;-10.3918
sufA;b1684;ytfL;b4218;Isolate 2;non-essential;No functional association with STRING;-3.369;-4.387;-9.0339
ydjX;b1750;glxR;b0509;Isolate 1;non-essential;No functional association with STRING;-9.431;-12.982;-8.7533
ydjX;b1750;cydD;b0887;Isolate 2;non-essential;No functional association with STRING;-4.714;-6.670;-0.8985
ydjX;b1750;cmk;b0910;Isolate 2;non-essential;No functional association with STRING;-3.072;-4.289;-10.0522
ydjX;b1750;intR;b1345;Isolate 2;non-essential;No functional association with STRING;-3.264;-4.568;-8.3606
ydjX;b1750;ydhJ;b1644;Isolate 2;non-essential;No functional association with STRING;-3.700;-5.200;-3.2927
ydjX;b1750;aroD;b1693;Isolate 1;non-essential;No functional association with STRING;-5.666;-7.727;-3.5397
ydjX;b1750;yeaI;b1785;Isolate 2;non-essential;No functional association with STRING;-5.428;-7.705;-2.8084
ydjX;b1750;yebU;b1835;Isolate 2;non-essential;No functional association with STRING;-3.956;-5.570;-1.8962
ydjX;b1750;yebB;b1862;Isolate 2;non-essential;No functional association with STRING;-3.063;-4.277;-1.1308
ydjX;b1750;yedW;b1969;Isolate 1;non-essential;No functional association with STRING;-3.450;-4.634;-0.6706
ydjX;b1750;wcaC;b2057;Isolate 1;non-essential;No functional association with STRING;-3.122;-4.176;-0.4965
ydjX;b1750;wcaC;b2057;Isolate 2;non-essential;No functional association with STRING;-4.815;-6.816;-1.0474
ydjX;b1750;ypfH;b2473;Isolate 2;non-essential;No functional association with STRING;-3.462;-4.855;-0.7374
ydjX;b1750;uhpB;b3668;Isolate 2;non-essential;No functional association with STRING;-2.935;-4.091;-8.2549
ydjX;b1750;purA;b4177;Isolate 1;non-essential;No functional association with STRING;-3.087;-4.127;-8.0016
ynjB;b1754;lpcA;b0222;Isolate 1;non-essential;No functional association with STRING;-3.451;-4.350;-10.7245
ynjB;b1754;trmU;b1133;Isolate 2;non-essential;No functional association with STRING;-3.078;-4.076;-1.8214
ynjB;b1754;intQ;b1579;Isolate 1;non-essential;No functional association with STRING;-4.093;-5.182;-1.8707
ynjB;b1754;uidA;b1617;Isolate 2;non-essential;No functional association with STRING;-3.114;-4.126;-2.2615
ynjB;b1754;rnt;b1652;Isolate 1;non-essential;No functional association with STRING;-6.351;-8.108;-5.0931
ynjB;b1754;ynhG;b1678;Isolate 2;non-essential;No functional association with STRING;-3.369;-4.476;-2.0632
ynjB;b1754;ydiD;b1701;Isolate 2;non-essential;No functional association with STRING;-3.952;-5.278;-1.7259
ynjB;b1754;yoaG;b1796;Isolate 2;non-essential;No functional association with STRING;-3.130;-4.148;-2.0162
ynjB;b1754;yfaD;b2244;Isolate 2;non-essential;No functional association with STRING;-13.738;-18.717;-9.5648
ynjB;b1754;nuoM;b2277;Isolate 2;non-essential;No functional association with STRING;-3.425;-4.553;-3.1137
ynjB;b1754;purL;b2557;Isolate 2;non-essential;No functional association with STRING;-3.408;-4.530;-3.0953
ynjB;b1754;nrdF;b2676;Isolate 2;non-essential;No functional association with STRING;-3.672;-4.893;-2.0412
ynjB;b1754;yghS;b2985;Isolate 2;non-essential;No functional association with STRING;-6.030;-8.131;-2.9343
ynjB;b1754;aspA;b4139;Isolate 2;non-essential;No functional association with STRING;-3.781;-5.043;-2.9165
ydjH;b1772;csgE;b1039;Isolate 2;non-essential;No functional association with STRING;-8.649;-8.726;-4.8365
ydjH;b1772;ydhJ;b1644;Isolate 2;non-essential;No functional association with STRING;-4.842;-4.792;-4.1503
ydjH;b1772;ydhW;b1672;Isolate 1;non-essential;No functional association with STRING;-4.630;-4.212;-2.4310
ydjH;b1772;ydiN;b1691;Isolate 1;non-essential;No functional association with STRING;-4.437;-4.026;-2.7167
ydjH;b1772;aroD;b1693;Isolate 1;non-essential;No functional association with STRING;-6.196;-5.721;-4.2913
ydjH;b1772;aroH;b1704;Isolate 2;non-essential;No functional association with STRING;-5.196;-5.158;-2.3404
ydjH;b1772;ydiE;b1705;Isolate 1;non-essential;No functional association with STRING;-4.763;-4.340;-2.4811
ydjH;b1772;chbG;b1733;Isolate 2;non-essential;No functional association with STRING;-5.027;-4.983;-2.4642
ydjH;b1772;pabB;b1812;Isolate 2;non-essential;No functional association with STRING;-10.099;-10.224;-8.5794
ydjH;b1772;yeaB;b1813;Isolate 2;non-essential;No functional association with STRING;-4.935;-4.889;-2.8210
ydjH;b1772;ruvA;b1861;Isolate 2;non-essential;No functional association with STRING;-4.882;-4.833;-4.4185
ydjH;b1772;cobT;b1991;Isolate 1;non-essential;No functional association with STRING;-5.682;-5.225;-2.8938
ydjH;b1772;sbcB;b2011;Isolate 1;non-essential;No functional association with STRING;-9.121;-8.539;-6.8588
ydjH;b1772;sbcB;b2011;Isolate 2;non-essential;No functional association with STRING;-4.519;-4.458;-2.1407
ydjH;b1772;hisF;b2025;Isolate 1;non-essential;No functional association with STRING;-4.730;-4.308;-2.4011
ydjH;b1772;wcaL;b2044;Isolate 2;non-essential;No functional association with STRING;-5.189;-5.151;-2.5156
ydjH;b1772;wcaB;b2058;Isolate 2;non-essential;No functional association with STRING;-6.145;-6.138;-2.9084
ydjH;b1772;menE;b2260;Isolate 2;non-essential;No functional association with STRING;-4.479;-4.417;-2.5085
ydjH;b1772;dedD;b2314;Isolate 1;non-essential;No functional association with STRING;-5.249;-4.808;-3.2582
ydjH;b1772;dedD;b2314;Isolate 2;non-essential;No functional association with STRING;-4.727;-4.673;-3.8743
ydjH;b1772;oxc;b2373;Isolate 1;non-essential;No functional association with STRING;-5.693;-5.236;-2.7397
fliA;b1922;dcuC;b0621;Isolate 2;non-essential;No functional association with STRING;-3.984;-5.233;-1.2891
fliA;b1922;pgm;b0688;Isolate 1;non-essential;No functional association with STRING;-3.658;-4.467;-1.6369
fliA;b1922;sucA;b0726;Isolate 2;non-essential;No functional association with STRING;-3.881;-5.095;-2.1165
fliA;b1922;cspG;b0990;Isolate 1;non-essential;No functional association with STRING;-4.380;-5.381;-2.7500
fliA;b1922;hns;b1237;Isolate 1;non-essential;No functional association with STRING;-4.942;-6.091;-10.7521
fliA;b1922;ydcP;b1435;Isolate 2;non-essential;No functional association with STRING;-4.932;-6.516;-7.6740
fliA;b1922;pykF;b1676;Isolate 2;non-essential;No functional association with STRING;-6.021;-7.989;-3.4759
fliA;b1922;cheY;b1882;Isolate 2;non-essential;Functional association with STRING;-4.809;-6.349;-2.7465
fliA;b1922;yedV;b1968;Isolate 1;non-essential;No functional association with STRING;-13.668;-17.124;-10.7521
fliA;b1922;yedV;b1968;Isolate 2;non-essential;No functional association with STRING;-3.738;-4.901;-2.3877
fliA;b1922;sbmC;b2009;Isolate 2;non-essential;No functional association with STRING;-4.433;-5.840;-2.1330
fliA;b1922;wcaC;b2057;Isolate 1;non-essential;No functional association with STRING;-6.611;-8.201;-1.0697
fliA;b1922;ccmC;b2199;Isolate 1;non-essential;No functional association with STRING;-7.297;-9.069;-10.7521
fliA;b1922;nuoN;b2276;Isolate 1;non-essential;No functional association with STRING;-3.903;-4.777;-9.7211
fliA;b1922;nuoN;b2276;Isolate 2;non-essential;No functional association with STRING;-8.967;-11.973;-10.6375
fliA;b1922;nuoM;b2277;Isolate 2;non-essential;No functional association with STRING;-7.970;-10.625;-10.6375
fliA;b1922;nuoK;b2279;Isolate 2;non-essential;No functional association with STRING;-13.086;-17.544;-10.6375
fliA;b1922;nuoJ;b2280;Isolate 1;non-essential;No functional association with STRING;-4.164;-5.108;-10.7521
fliA;b1922;nuoF;b2284;Isolate 1;non-essential;No functional association with STRING;-5.215;-6.436;-10.7521
fliA;b1922;yfeS;b2420;Isolate 1;non-essential;No functional association with STRING;-4.522;-5.560;-0.9721
fliA;b1922;yfjO;b2631;Isolate 2;non-essential;No functional association with STRING;-3.265;-4.261;-3.0442
fliA;b1922;folB;b3058;Isolate 2;non-essential;No functional association with STRING;-7.620;-10.152;-10.6375
fliA;b1922;folP;b3177;Isolate 1;non-essential;No functional association with STRING;-4.771;-5.875;-2.5605
fliA;b1922;uhpB;b3668;Isolate 1;non-essential;No functional association with STRING;-9.734;-12.149;-9.0843
fliA;b1922;ulaD;b4196;Isolate 2;non-essential;No functional association with STRING;-3.250;-4.241;-3.2104
fliA;b1922;holD;b4372;Isolate 2;non-essential;No functional association with STRING;-3.713;-4.867;-3.7721
fliA;b1922;sgcB;b4565;Isolate 1;non-essential;No functional association with STRING;-5.937;-7.349;-10.1961
fdx;b2525;lpd;b0116;Isolate 1;non-essential;No functional association with STRING;-3.416;-4.867;-2.5987
fdx;b2525;lpd;b0116;Isolate 2;non-essential;No functional association with STRING;-6.159;-8.968;-2.9419
fdx;b2525;glnD;b0167;Isolate 2;non-essential;No functional association with STRING;-3.262;-4.694;-0.4740
fdx;b2525;ybhC;b0772;Isolate 2;non-essential;No functional association with STRING;-13.511;-19.814;-11.4723
fdx;b2525;ydaS;b1357;Isolate 2;non-essential;No functional association with STRING;-7.206;-10.512;-7.6334
fdx;b2525;ydhD;b1654;Isolate 1;non-essential;No functional association with STRING;-11.502;-16.636;-5.1569
fdx;b2525;ydhD;b1654;Isolate 2;non-essential;No functional association with STRING;-5.657;-8.227;-2.4929
fdx;b2525;sufE;b1679;Isolate 1;non-essential;No functional association with STRING;-11.174;-16.159;-5.0881
fdx;b2525;sufE;b1679;Isolate 2;non-essential;No functional association with STRING;-6.004;-8.739;-3.1109
fdx;b2525;sufS;b1680;Isolate 1;non-essential;No functional association with STRING;-11.082;-16.024;-9.3911
fdx;b2525;sufC;b1682;Isolate 2;non-essential;No functional association with STRING;-7.079;-10.326;-3.4743
fdx;b2525;sufB;b1683;Isolate 1;non-essential;No functional association with STRING;-13.248;-19.178;-3.7947
fdx;b2525;sufB;b1683;Isolate 2;non-essential;No functional association with STRING;-7.911;-11.552;-4.3955
fdx;b2525;ccmC;b2199;Isolate 1;non-essential;No functional association with STRING;-7.297;-10.516;-9.3911
fdx;b2525;hemF;b2436;Isolate 1;non-essential;No functional association with STRING;-3.461;-4.933;-1.9524
fdx;b2525;hemF;b2436;Isolate 2;non-essential;No functional association with STRING;-4.049;-5.855;-2.0366
fdx;b2525;rseA;b2572;Isolate 1;non-essential;No functional association with STRING;-9.822;-14.191;-9.3911
fdx;b2525;rseA;b2572;Isolate 2;non-essential;No functional association with STRING;-8.094;-11.822;-10.7483
fdx;b2525;recA;b2699;Isolate 2;non-essential;No functional association with STRING;-3.475;-5.008;-11.4723
fdx;b2525;ygfZ;b2898;Isolate 1;non-essential;No functional association with STRING;-6.435;-9.261;-9.3911
fdx;b2525;ygfZ;b2898;Isolate 2;non-essential;No functional association with STRING;-8.087;-11.812;-11.4723
fdx;b2525;folB;b3058;Isolate 2;non-essential;No functional association with STRING;-7.656;-11.177;-11.4723
fdx;b2525;rpsU;b3065;Isolate 2;non-essential;No functional association with STRING;-5.055;-7.340;-0.4776
fdx;b2525;gntY;b3414;Isolate 2;non-essential;No functional association with STRING;-5.011;-7.274;-2.2942
fdx;b2525;prfC;b4375;Isolate 2;non-essential;No functional association with STRING;-2.903;-4.165;-0.8663
hscA;b2526;lpd;b0116;Isolate 1;non-essential;No functional association with STRING;-4.958;-4.500;-6.8693
hscA;b2526;lpd;b0116;Isolate 2;non-essential;No functional association with STRING;-8.399;-8.920;-3.5854
hscA;b2526;yadB;b0144;Isolate 1;non-essential;No functional association with STRING;-13.566;-12.564;-7.5850
hscA;b2526;glnD;b0167;Isolate 2;non-essential;No functional association with STRING;-6.105;-6.443;-0.9735
hscA;b2526;ykgA;b0300;Isolate 2;non-essential;No functional association with STRING;-7.847;-8.324;-3.6521
hscA;b2526;cof;b0446;Isolate 1;non-essential;No functional association with STRING;-7.459;-6.842;-11.0667
hscA;b2526;ybhC;b0772;Isolate 2;non-essential;No functional association with STRING;-13.511;-14.438;-12.2117
hscA;b2526;ybhG;b0795;Isolate 2;non-essential;No functional association with STRING;-12.676;-13.537;-6.5571
hscA;b2526;yciM;b1280;Isolate 2;non-essential;No functional association with STRING;-5.828;-6.144;-12.2117
hscA;b2526;yddJ;b1470;Isolate 1;non-essential;No functional association with STRING;-14.419;-13.364;-9.2058
hscA;b2526;ydfE;b1577;Isolate 1;non-essential;No functional association with STRING;-12.614;-11.672;-11.0667
hscA;b2526;ydhD;b1654;Isolate 1;non-essential;No functional association with STRING;-12.073;-11.165;-6.0438
hscA;b2526;ydhD;b1654;Isolate 2;non-essential;No functional association with STRING;-13.034;-13.923;-5.1563
hscA;b2526;pykF;b1676;Isolate 2;non-essential;No functional association with STRING;-13.380;-14.296;-12.2117
hscA;b2526;sufE;b1679;Isolate 1;non-essential;No functional association with STRING;-6.132;-5.599;-11.0667
hscA;b2526;sufS;b1680;Isolate 1;non-essential;No functional association with STRING;-10.866;-10.034;-8.7026
hscA;b2526;sufC;b1682;Isolate 2;non-essential;No functional association with STRING;-11.628;-12.405;-12.2117
hscA;b2526;sufB;b1683;Isolate 1;non-essential;Functional association with STRING;-11.380;-10.516;-11.0667
hscA;b2526;sufB;b1683;Isolate 2;non-essential;Functional association with STRING;-19.107;-20.479;-12.2117
hscA;b2526;sufA;b1684;Isolate 2;non-essential;Functional association with STRING;-8.226;-8.732;-4.1971
hscA;b2526;ynjA;b1753;Isolate 1;non-essential;No functional association with STRING;-9.666;-8.911;-9.5050
hscA;b2526;yedL;b1932;Isolate 2;non-essential;No functional association with STRING;-11.010;-11.738;-12.2117
hscA;b2526;dsrB;b1952;Isolate 1;non-essential;No functional association with STRING;-11.069;-10.225;-11.0667
hscA;b2526;wcaK;b2045;Isolate 1;non-essential;No functional association with STRING;-14.632;-13.563;-11.0667
hscA;b2526;yfeN;b2408;Isolate 1;non-essential;No functional association with STRING;-8.107;-7.450;-8.1450
hscA;b2526;hemF;b2436;Isolate 1;non-essential;No functional association with STRING;-6.949;-6.365;-2.9349
hscA;b2526;yfgC;b2494;Isolate 2;non-essential;No functional association with STRING;-5.981;-6.309;-2.8198
hscA;b2526;rseA;b2572;Isolate 1;non-essential;No functional association with STRING;-8.930;-8.221;-11.0667
hscA;b2526;rseA;b2572;Isolate 2;non-essential;No functional association with STRING;-7.002;-7.411;-3.8014
hscA;b2526;ypjD;b2611;Isolate 2;non-essential;No functional association with STRING;-4.370;-4.570;-12.2117
hscA;b2526;yqcA;b2790;Isolate 1;non-essential;No functional association with STRING;-7.015;-6.427;-11.0667
hscA;b2526;ygfZ;b2898;Isolate 1;non-essential;No functional association with STRING;-6.435;-5.884;-11.0667
hscA;b2526;ygfZ;b2898;Isolate 2;non-essential;No functional association with STRING;-8.087;-8.583;-12.2117
hscA;b2526;tolC;b3035;Isolate 2;non-essential;No functional association with STRING;-6.506;-6.876;-12.2117
hscA;b2526;rpsU;b3065;Isolate 2;non-essential;No functional association with STRING;-6.391;-6.752;-0.6591
hscA;b2526;bioH;b3412;Isolate 1;non-essential;No functional association with STRING;-9.229;-8.501;-4.4093
hscA;b2526;yhhW;b3439;Isolate 1;non-essential;No functional association with STRING;-12.846;-11.890;-11.0667
hscA;b2526;trmH;b3651;Isolate 1;non-essential;No functional association with STRING;-14.466;-13.407;-11.0667
hscA;b2526;recF;b3700;Isolate 1;non-essential;No functional association with STRING;-11.976;-11.074;-11.0667
hscA;b2526;recQ;b3822;Isolate 1;non-essential;No functional association with STRING;-10.895;-10.062;-7.6660
hscA;b2526;recQ;b3822;Isolate 2;non-essential;No functional association with STRING;-4.155;-4.338;-1.1715
hscA;b2526;sbp;b3917;Isolate 2;non-essential;No functional association with STRING;-4.118;-4.298;-2.2082
hscA;b2526;rplA;b3984;Isolate 2;non-essential;No functional association with STRING;-6.280;-6.632;-3.8128
hscB;b2527;rpsT;b0023;Isolate 1;non-essential;No functional association with STRING;-3.448;-4.790;-0.5368
hscB;b2527;glnD;b0167;Isolate 2;non-essential;No functional association with STRING;-4.641;-7.137;-0.6940
hscB;b2527;mdlB;b0449;Isolate 1;non-essential;No functional association with STRING;-3.229;-4.478;-11.9573
hscB;b2527;ycdY;b1035;Isolate 1;non-essential;No functional association with STRING;-3.023;-4.183;-2.7923
hscB;b2527;ydhD;b1654;Isolate 1;non-essential;No functional association with STRING;-11.241;-15.905;-4.9069
hscB;b2527;ydhD;b1654;Isolate 2;non-essential;No functional association with STRING;-10.505;-16.327;-3.7485
hscB;b2527;sufE;b1679;Isolate 1;non-essential;No functional association with STRING;-13.761;-19.500;-6.0292
hscB;b2527;sufS;b1680;Isolate 1;non-essential;No functional association with STRING;-3.682;-5.123;-2.5141
hscB;b2527;sufD;b1681;Isolate 1;non-essential;No functional association with STRING;-3.381;-4.694;-9.4185
hscB;b2527;sufC;b1682;Isolate 2;non-essential;No functional association with STRING;-8.127;-12.601;-3.8076
hscB;b2527;sufB;b1683;Isolate 1;non-essential;No functional association with STRING;-15.422;-21.869;-11.4814
hscB;b2527;sufB;b1683;Isolate 2;non-essential;No functional association with STRING;-17.330;-27.021;-10.1089
hscB;b2527;recA;b2699;Isolate 2;non-essential;No functional association with STRING;-3.951;-6.056;-7.3511
hscB;b2527;ygfZ;b2898;Isolate 1;non-essential;No functional association with STRING;-5.587;-7.841;-5.2534
hscB;b2527;ygfZ;b2898;Isolate 2;non-essential;No functional association with STRING;-4.487;-6.896;-3.5235
hscB;b2527;folB;b3058;Isolate 2;non-essential;No functional association with STRING;-7.542;-11.684;-10.1089
hscB;b2527;rpsU;b3065;Isolate 2;non-essential;No functional association with STRING;-6.139;-9.486;-0.6183
hscB;b2527;bioH;b3412;Isolate 1;non-essential;No functional association with STRING;-4.737;-6.629;-0.8957
hscB;b2527;gntY;b3414;Isolate 1;non-essential;No functional association with STRING;-3.020;-4.180;-1.7209
hscB;b2527;gntY;b3414;Isolate 2;non-essential;No functional association with STRING;-3.586;-5.484;-1.8501
iscA;b2528;lpd;b0116;Isolate 1;non-essential;No functional association with STRING;-5.304;-8.172;-4.1973
iscA;b2528;lpd;b0116;Isolate 2;non-essential;No functional association with STRING;-9.366;-15.170;-5.1142
iscA;b2528;glnD;b0167;Isolate 2;non-essential;No functional association with STRING;-2.688;-4.286;-0.3759
iscA;b2528;ybhC;b0772;Isolate 2;non-essential;No functional association with STRING;-13.511;-21.924;-11.4410
iscA;b2528;sufB;b1683;Isolate 1;non-essential;Functional association with STRING;-2.921;-4.459;-1.3142
iscA;b2528;sufA;b1684;Isolate 1;non-essential;No functional association with STRING;-6.548;-10.110;-5.6191
iscA;b2528;sufA;b1684;Isolate 2;non-essential;No functional association with STRING;-7.017;-11.342;-4.0401
iscA;b2528;ccmC;b2199;Isolate 1;non-essential;No functional association with STRING;-7.297;-11.278;-10.5295
