cell1,cell2,cell3,cell4,cell5
3OAR160,3opalmACP_c + h_c + nadph_c  <=> 3hpalmACP_c + nadp_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0)",b1093
3OAR161,3ocpalm9eACP_c + h_c + nadph_c  -> 3hcpalm9eACP_c + nadp_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1)",b1093
3OAR180,3ooctdACP_c + h_c + nadph_c  <=> 3hoctaACP_c + nadp_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0)",b1093
3OAR181,3ocvac11eACP_c + h_c + nadph_c  -> 3hcvac11eACP_c + nadp_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1)",b1093
3OAR40,actACP_c + h_c + nadph_c  <=> 3haACP_c + nadp_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0)",b1093
3OAR60,3ohexACP_c + h_c + nadph_c  <=> 3hhexACP_c + nadp_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0)",b1093
3OAR80,3ooctACP_c + h_c + nadph_c  <=> 3hoctACP_c + nadp_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0)",b1093
OGMEACPR,ogmeACP_c + h_c + nadph_c  -> hgmeACP_c + nadp_c ,"Cofactor and Prosthetic Group Biosynthesis","3-Oxo-glutaryl-[ACP] methyl ester reductase",b1093
OPMEACPR,h_c + opmeACP_c + nadph_c  -> hpmeACP_c + nadp_c ,"Cofactor and Prosthetic Group Biosynthesis","3-Oxo-pimeloyl-[ACP] methyl ester reductase",b1093
AACPS1,ACP_c + atp_c + ttdca_c  -> amp_c + myrsACP_c + ppi_c ,"Cell Envelope Biosynthesis","Acyl-[acyl-carrier-protein] synthetase (n-C14:0)",b2836 and b1094
AACPS2,ACP_c + atp_c + ttdcea_c  -> amp_c + ppi_c + tdeACP_c ,"Cell Envelope Biosynthesis","Acyl-[acyl-carrier-protein] synthetase  (n-C14:1)",b2836 and b1094
AACPS3,ACP_c + atp_c + hdca_c  -> amp_c + palmACP_c + ppi_c ,"Cell Envelope Biosynthesis","Acyl-[acyl-carrier-protein] synthetase  (n-C16:0)",b2836 and b1094
AACPS4,ACP_c + atp_c + hdcea_c  -> amp_c + hdeACP_c + ppi_c ,"Cell Envelope Biosynthesis","Acyl-[acyl-carrier-protein] synthetase  (n-C16:1)",b2836 and b1094
AACPS5,ACP_c + atp_c + ocdcea_c  -> amp_c + octeACP_c + ppi_c ,"Cell Envelope Biosynthesis","Acyl-[acyl-carrier-protein] synthetase  (n-C18:1)",b2836 and b1094
AACPS6,ACP_c + atp_c + ocdca_c  -> amp_c + ocdcaACP_c + ppi_c ,"Cell Envelope Biosynthesis","Acyl-[acyl-carrier-protein] synthetase  (n-C18:0)",b2836 and b1094
AACPS7,ACP_c + atp_c + ddca_c  -> amp_c + ddcaACP_c + ppi_c ,"Cell Envelope Biosynthesis","Acyl-[acyl-carrier-protein] synthetase  (n-C12:0)",b2836 and b1094
AACPS8,ACP_c + atp_c + dca_c  -> amp_c + dcaACP_c + ppi_c ,"Cell Envelope Biosynthesis","Acyl-[acyl-carrier-protein] synthetase  (n-C10:0)",b2836 and b1094
AACPS9,ACP_c + atp_c + octa_c  -> amp_c + ocACP_c + ppi_c ,"Cell Envelope Biosynthesis","Acyl-[acyl-carrier-protein] synthetase  (n-C8:0)",b2836 and b1094
ACOATA,ACP_c + accoa_c  <=> acACP_c + coa_c ,"Membrane Lipid Metabolism","Acetyl-CoA ACP transacylase",b1094 and b1091
ACPPAT120,ddcaACP_c + h_c + pi_c  -> ACP_c + ddcap_c ,"Glycerophospholipid Metabolism","Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0)",b1094 and b1090
ACPPAT140,h_c + myrsACP_c + pi_c  -> ACP_c + ttdcap_c ,"Glycerophospholipid Metabolism","Acyl-(acyl carrier protein):phosphate acyltransferase (C14:0)",b1094 and b1090
ACPPAT141,h_c + pi_c + tdeACP_c  -> ACP_c + ttdceap_c ,"Glycerophospholipid Metabolism","Acyl-(acyl carrier protein):phosphate acyltransferase (C14:1)",b1094 and b1090
ACPPAT160,h_c + palmACP_c + pi_c  -> ACP_c + hdcap_c ,"Glycerophospholipid Metabolism","Acyl-(acyl carrier protein):phosphate acyltransferase (C16:0)",b1094 and b1090
ACPPAT161,h_c + hdeACP_c + pi_c  -> ACP_c + hdceap_c ,"Glycerophospholipid Metabolism","Acyl-(acyl carrier protein):phosphate acyltransferase (C16:1)",b1094 and b1090
ACPPAT180,h_c + pi_c + ocdcaACP_c  -> ACP_c + ocdcap_c ,"Glycerophospholipid Metabolism","Acyl-(acyl carrier protein):phosphate acyltransferase (C18:0)",b1094 and b1090
ACPPAT181,octeACP_c + h_c + pi_c  -> ACP_c + ocdceap_c ,"Glycerophospholipid Metabolism","Acyl-(acyl carrier protein):phosphate acyltransferase (C18:1)",b1094 and b1090
G3PAT120,ddcaACP_c + glyc3p_c  -> 1ddecg3p_c + ACP_c ,"Glycerophospholipid Metabolism","Glycerol-3-phosphate acyltransferase (C12:0)",b1094 and b4041
G3PAT140,glyc3p_c + myrsACP_c  -> 1tdecg3p_c + ACP_c ,"Glycerophospholipid Metabolism","Glycerol-3-phosphate acyltransferase (C14:0)",b1094 and b4041
G3PAT141,glyc3p_c + tdeACP_c  -> 1tdec7eg3p_c + ACP_c ,"Glycerophospholipid Metabolism","Glycerol-3-phosphate acyltransferase (C14:1)",b1094 and b4041
G3PAT160,glyc3p_c + palmACP_c  -> 1hdecg3p_c + ACP_c ,"Glycerophospholipid Metabolism","Glycerol-3-phosphate acyltransferase (C16:0)",b1094 and b4041
G3PAT161,glyc3p_c + hdeACP_c  -> 1hdec9eg3p_c + ACP_c ,"Glycerophospholipid Metabolism","Glycerol-3-phosphate acyltransferase (C16:1)",b1094 and b4041
G3PAT180,glyc3p_c + ocdcaACP_c  -> 1odecg3p_c + ACP_c ,"Glycerophospholipid Metabolism","Glycerol-3-phosphate acyltransferase (C18:0)",b1094 and b4041
G3PAT181,glyc3p_c + octeACP_c  -> 1odec11eg3p_c + ACP_c ,"Glycerophospholipid Metabolism","Glycerol-3-phosphate acyltransferase (C18:1)",b1094 and b4041
MCOATA,ACP_c + malcoa_c  <=> coa_c + malACP_c ,"Membrane Lipid Metabolism","Malonyl-CoA-ACP transacylase",b1094 and b1092
UAGAAT,3hmrsACP_c + uacgam_c  <=> ACP_c + u3aga_c ,"Lipopolysaccharide Biosynthesis / Recycling","UDP-N-acetylglucosamine acyltransferase",b1094 and b0181
DTMPK,atp_c + dtmp_c  <=> adp_c + dtdp_c ,"Nucleotide Salvage Pathway","DTMP kinase",b1098
PRPPS,atp_c + r5p_c  <=> amp_c + h_c + prpp_c ,"Histidine Metabolism","Phosphoribosylpyrophosphate synthetase",b1207
CDPMEK,4c2me_c + atp_c  -> adp_c + 2p4c2me_c + h_c ,"Cofactor and Prosthetic Group Biosynthesis","4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase",b1208
GLUTRR,glutrna_c + h_c + nadph_c  -> glu1sa_c + nadp_c + trnaglu_c ,"Cofactor and Prosthetic Group Biosynthesis","Glutamyl-tRNA reductase",b1210
KDOPS,ara5p_c + h2o_c + pep_c  -> pi_c + kdo8p_c ,"Lipopolysaccharide Biosynthesis / Recycling","3-deoxy -D-manno-octulosonic -acid 8-phosphate synthase",b1215
GTPCII2,gtp_c + 3 h2o_c  -> 25drapp_c + for_c + 2 h_c + ppi_c ,"Cofactor and Prosthetic Group Biosynthesis","GTP cyclohydrolase II (25drapp)",b1277
EAR100x,h_c + nadh_c + tdec2eACP_c  -> dcaACP_c + nad_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0)",b1288
EAR100y,h_c + nadph_c + tdec2eACP_c  -> dcaACP_c + nadp_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C10:0)",b1288
EAR120x,h_c + nadh_c + tddec2eACP_c  -> ddcaACP_c + nad_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:0)",b1288
EAR120y,h_c + nadph_c + tddec2eACP_c  -> ddcaACP_c + nadp_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:0)",b1288
EAR121x,h_c + nadh_c + t3c5ddeceACP_c  -> cddec5eACP_c + nad_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:1)",b1288
EAR121y,h_c + nadph_c + t3c5ddeceACP_c  -> cddec5eACP_c + nadp_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:1)",b1288
EAR140x,h_c + nadh_c + tmrs2eACP_c  -> myrsACP_c + nad_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:0)",b1288
EAR140y,h_c + nadph_c + tmrs2eACP_c  -> myrsACP_c + nadp_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:0)",b1288
EAR141x,h_c + nadh_c + t3c7mrseACP_c  -> nad_c + tdeACP_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1)",b1288
EAR141y,h_c + nadph_c + t3c7mrseACP_c  -> nadp_c + tdeACP_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:1)",b1288
EAR160x,h_c + nadh_c + tpalm2eACP_c  -> palmACP_c + nad_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:0)",b1288
EAR160y,h_c + nadph_c + tpalm2eACP_c  -> palmACP_c + nadp_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:0)",b1288
EAR161x,h_c + nadh_c + t3c9palmeACP_c  -> hdeACP_c + nad_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:1)",b1288
EAR161y,h_c + nadph_c + t3c9palmeACP_c  -> hdeACP_c + nadp_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:1)",b1288
EAR180x,h_c + nadh_c + toctd2eACP_c  -> nad_c + ocdcaACP_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:0)",b1288
EAR180y,h_c + nadph_c + toctd2eACP_c  -> nadp_c + ocdcaACP_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:0)",b1288
EAR181x,h_c + nadh_c + t3c11vaceACP_c  -> octeACP_c + nad_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1)",b1288
EAR181y,h_c + nadph_c + t3c11vaceACP_c  -> octeACP_c + nadp_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:1)",b1288
EAR40x,but2eACP_c + h_c + nadh_c  -> butACP_c + nad_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C4:0)",b1288
EAR40y,but2eACP_c + h_c + nadph_c  -> butACP_c + nadp_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C4:0)",b1288
EAR60x,h_c + nadh_c + thex2eACP_c  -> hexACP_c + nad_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0)",b1288
EAR60y,h_c + nadph_c + thex2eACP_c  -> hexACP_c + nadp_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0)",b1288
EGMEACPR,egmeACP_c + h_c + nadph_c  -> gmeACP_c + nadp_c ,"Cofactor and Prosthetic Group Biosynthesis","Enoylglutaryl-[ACP] methyl ester reductase",b1288
EAR80x,h_c + nadh_c + toct2eACP_c  -> nad_c + ocACP_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0)",b1288
EAR80y,h_c + nadph_c + toct2eACP_c  -> nadp_c + ocACP_c ,"Cell Envelope Biosynthesis","Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0)",b1288
EPMEACPR,epmeACP_c + h_c + nadph_c  -> nadp_c + pmeACP_c ,"Cofactor and Prosthetic Group Biosynthesis","Enoylpimeloyl-[ACP] methyl ester reductase",b1288
TYRTRS,atp_c + trnatyr_c + tyr__L_c  -> amp_c + ppi_c + tyrtrna_c ,"tRNA Charging","Tyrosyl-tRNA synthetase",b1637
RBFSa,4r5au_c + db4p_c  -> dmlz_c + 2 h2o_c + pi_c ,"Cofactor and Prosthetic Group Biosynthesis","Riboflavin synthase",b1662
PHETRS,atp_c + phe__L_c + trnaphe_c  -> amp_c + phetrna_c + ppi_c ,"tRNA Charging","Phenylalanyl-tRNA synthetase",b1713 and b1714
PHETRS,atp_c + phe__L_c + trnaphe_c  -> amp_c + phetrna_c + ppi_c ,"tRNA Charging","Phenylalanyl-tRNA synthetase",b1713 and b1714
THRTRS,atp_c + thr__L_c + trnathr_c  -> amp_c + ppi_c + thrtrna_c ,"tRNA Charging","Threonyl-tRNA synthetase",b1719
NADS1,atp_c + dnad_c + nh4_c  -> amp_c + h_c + nad_c + ppi_c ,"Cofactor and Prosthetic Group Biosynthesis","NAD synthase (nh3)",b1740
E4PD,e4p_c + h2o_c + nad_c  <=> 4per_c + 2 h_c + nadh_c ,"Cofactor and Prosthetic Group Biosynthesis","Erythrose 4-phosphate dehydrogenase",b2927 or b1779
GAPD,g3p_c + nad_c + pi_c  <=> 13dpg_c + h_c + nadh_c ,"Glycolysis/Gluconeogenesis","Glyceraldehyde-3-phosphate dehydrogenase",b1779
ASPTRS,asp__L_c + atp_c + trnaasp_c  -> amp_c + asptrna_c + ppi_c ,"tRNA Charging","Aspartyl-tRNA synthetase",b1866
ARGTRS,arg__L_c + atp_c + trnaarg_c  -> amp_c + argtrna_c + ppi_c ,"tRNA Charging","Arginyl-tRNA synthetase",b1876
PGSA120,cdpdddecg_c + glyc3p_c  -> cmp_c + h_c + pgp120_c ,"Glycerophospholipid Metabolism","Phosphatidylglycerol synthase (n-C12:0)",b1912
PGSA140,cdpdtdecg_c + glyc3p_c  -> cmp_c + h_c + pgp140_c ,"Glycerophospholipid Metabolism","Phosphatidylglycerol synthase (n-C14:0)",b1912
PGSA141,cdpdtdec7eg_c + glyc3p_c  -> cmp_c + h_c + pgp141_c ,"Glycerophospholipid Metabolism","Phosphatidylglycerol synthase (n-C14:1)",b1912
PGSA160,cdpdhdecg_c + glyc3p_c  -> cmp_c + h_c + pgp160_c ,"Glycerophospholipid Metabolism","Phosphatidylglycerol synthase (n-C16:0)",b1912
PGSA161,cdpdhdec9eg_c + glyc3p_c  -> cmp_c + h_c + pgp161_c ,"Glycerophospholipid Metabolism","Phosphatidylglycerol synthase (n-C16:1)",b1912
PGSA180,cdpdodecg_c + glyc3p_c  -> cmp_c + h_c + pgp180_c ,"Glycerophospholipid Metabolism","Phosphatidylglycerol synthase (n-C18:0)",b1912
PGSA181,cdpdodec11eg_c + glyc3p_c  -> cmp_c + h_c + pgp181_c ,"Glycerophospholipid Metabolism","Phosphatidylglycerol synthase (n-C18:1)",b1912
METTRS,atp_c + met__L_c + trnamet_c  -> amp_c + mettrna_c + ppi_c ,"tRNA Charging","Methionyl-tRNA synthetase",b2114
GTPCI,gtp_c + h2o_c  -> ahdt_c + for_c + h_c ,"Cofactor and Prosthetic Group Biosynthesis","GTP cyclohydrolase I",b2153
RNDR1,adp_c + trdrd_c  -> dadp_c + h2o_c + trdox_c ,"Nucleotide Salvage Pathway","Ribonucleoside-diphosphate reductase (ADP)",((b2234 and b2235) and b2582) or ((b2234 and b2235) and b3781)
RNDR2,gdp_c + trdrd_c  -> dgdp_c + h2o_c + trdox_c ,"Nucleotide Salvage Pathway","Ribonucleoside-diphosphate reductase (GDP)",((b2234 and b2235) and b3781) or ((b2234 and b2235) and b2582)
RNDR3,cdp_c + trdrd_c  -> dcdp_c + h2o_c + trdox_c ,"Nucleotide Salvage Pathway","Ribonucleoside-diphosphate reductase (CDP)",((b2234 and b2235) and b3781) or ((b2234 and b2235) and b2582)
RNDR4,trdrd_c + udp_c  -> dudp_c + h2o_c + trdox_c ,"Nucleotide Salvage Pathway","Ribonucleoside-diphosphate reductase (UDP)",((b2234 and b2235) and b3781) or ((b2234 and b2235) and b2582)
RNDR1,adp_c + trdrd_c  -> dadp_c + h2o_c + trdox_c ,"Nucleotide Salvage Pathway","Ribonucleoside-diphosphate reductase (ADP)",((b2234 and b2235) and b2582) or ((b2234 and b2235) and b3781)
RNDR2,gdp_c + trdrd_c  -> dgdp_c + h2o_c + trdox_c ,"Nucleotide Salvage Pathway","Ribonucleoside-diphosphate reductase (GDP)",((b2234 and b2235) and b3781) or ((b2234 and b2235) and b2582)
RNDR3,cdp_c + trdrd_c  -> dcdp_c + h2o_c + trdox_c ,"Nucleotide Salvage Pathway","Ribonucleoside-diphosphate reductase (CDP)",((b2234 and b2235) and b3781) or ((b2234 and b2235) and b2582)
RNDR4,trdrd_c + udp_c  -> dudp_c + h2o_c + trdox_c ,"Nucleotide Salvage Pathway","Ribonucleoside-diphosphate reductase (UDP)",((b2234 and b2235) and b3781) or ((b2234 and b2235) and b2582)
DHFS,atp_c + dhpt_c + glu__L_c  -> adp_c + dhf_c + h_c + pi_c ,"Cofactor and Prosthetic Group Biosynthesis","Dihydrofolate synthase",b2315
ACCOAC,accoa_c + atp_c + hco3_c  -> adp_c + malcoa_c + h_c + pi_c ,"Membrane Lipid Metabolism","Acetyl-CoA carboxylase",b0185 and b2316 and b3255 and b3256
3OAS100,malACP_c + h_c + ocACP_c  -> ACP_c + 3odecACP_c + co2_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0)",b2323 or b1095
3OAS120,dcaACP_c + malACP_c + h_c  -> ACP_c + 3oddecACP_c + co2_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0)",b1095 or b2323
3OAS121,cdec3eACP_c + malACP_c + h_c  -> ACP_c + 3ocddec5eACP_c + co2_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1)",b2323
3OAS140,ddcaACP_c + malACP_c + h_c  -> ACP_c + 3omrsACP_c + co2_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0)",b2323 or b1095
3OAS141,cddec5eACP_c + malACP_c + h_c  -> ACP_c + 3ocmrs7eACP_c + co2_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1)",b2323
3OAS160,malACP_c + h_c + myrsACP_c  -> ACP_c + 3opalmACP_c + co2_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0)",b2323 or b1095
3OAS161,malACP_c + h_c + tdeACP_c  -> ACP_c + 3ocpalm9eACP_c + co2_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1)",b2323
3OAS180,malACP_c + h_c + palmACP_c  -> ACP_c + 3ooctdACP_c + co2_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0)",b1095 or b2323
3OAS60,butACP_c + malACP_c + h_c  -> ACP_c + 3ohexACP_c + co2_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0)",b1095 or b2323
3OAS80,malACP_c + h_c + hexACP_c  -> ACP_c + 3ooctACP_c + co2_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0)",b2323 or b1095
KAS14,acACP_c + malACP_c + h_c  -> ACP_c + actACP_c + co2_c ,"Membrane Lipid Metabolism","Beta-ketoacyl-ACP synthase",b2323 or b1095
MACPD,malACP_c + h_c  -> acACP_c + co2_c ,"Membrane Lipid Metabolism","Malonyl-ACP decarboxylase",b2323
OPMEACPS,gmeACP_c + malACP_c + h_c  -> ACP_c + co2_c + opmeACP_c ,"Cofactor and Prosthetic Group Biosynthesis","3-Oxo-pimeloyl-[ACP] methyl ester synthase",b2323
GLUTRS,atp_c + glu__L_c + trnaglu_c  -> amp_c + glutrna_c + ppi_c ,"Cofactor and Prosthetic Group Biosynthesis","Glutamyl-tRNA synthetase",b2400
NADDP,h2o_c + nad_c  -> amp_c + 2 h_c + nmn_c ,"Cofactor and Prosthetic Group Biosynthesis","NAD diphosphatase",b3996 or b2411
SDPDS,h2o_c + sl26da_c  -> 26dap_LL_c + succ_c ,"Threonine and Lysine Metabolism","Succinyl-diaminopimelate desuccinylase",b2472
DHDPS,aspsa_c + pyr_c  -> 23dhdp_c + h_c + 2 h2o_c ,"Threonine and Lysine Metabolism","Dihydrodipicolinate synthase",b2478
HISTRS,atp_c + his__L_c + trnahis_c  -> amp_c + histrna_c + ppi_c ,"tRNA Charging","Histidyl-tRNA synthetase",b2514
MECDPDH5,2mecdp_c + 2 flxr_c + h_c  -> 2 flxso_c + h2mb4p_c + h2o_c ,"Cofactor and Prosthetic Group Biosynthesis","2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase",(b2895 and b2515) or (b0684 and b2515)
G2PP,glyc2p_c + h2o_c  -> glyc_c + pi_c ,"Alternate Carbon Metabolism","Glycerol-2-phosphate phosphatase",b2533
MI1PP,h2o_c + mi1p__D_c  -> pi_c + inost_c ,"Cell Envelope Biosynthesis","Myo-inositol 1-phosphatase",b2533
ACPS1,apoACP_c + coa_c  -> ACP_c + h_c + pap_c ,"Cofactor and Prosthetic Group Biosynthesis","Acyl-carrier protein synthase",b3475 or b2563
PSSA120,cdpdddecg_c + ser__L_c  -> cmp_c + h_c + ps120_c ,"Glycerophospholipid Metabolism","Phosphatidylserine syntase (n-C12:0)",b2585
PSSA140,cdpdtdecg_c + ser__L_c  -> cmp_c + h_c + ps140_c ,"Glycerophospholipid Metabolism","Phosphatidylserine syntase (n-C14:0)",b2585
PSSA141,cdpdtdec7eg_c + ser__L_c  -> cmp_c + h_c + ps141_c ,"Glycerophospholipid Metabolism","Phosphatidylserine syntase (n-C14:1)",b2585
PSSA160,cdpdhdecg_c + ser__L_c  -> cmp_c + h_c + ps160_c ,"Glycerophospholipid Metabolism","Phosphatidylserine syntase (n-C16:0)",b2585
PSSA161,cdpdhdec9eg_c + ser__L_c  -> cmp_c + h_c + ps161_c ,"Glycerophospholipid Metabolism","Phosphatidylserine syntase (n-C16:1)",b2585
PSSA180,cdpdodecg_c + ser__L_c  -> cmp_c + h_c + ps180_c ,"Glycerophospholipid Metabolism","Phosphatidylserine syntase (n-C18:0)",b2585
PSSA181,cdpdodec11eg_c + ser__L_c  -> cmp_c + h_c + ps181_c ,"Glycerophospholipid Metabolism","Phosphatidylserine syntase (n-C18:1)",b2585
NADK,atp_c + nad_c  -> adp_c + h_c + nadp_c ,"Cofactor and Prosthetic Group Biosynthesis","NAD kinase",b2615
ALATRS,ala__L_c + atp_c + trnaala_c  -> alatrna_c + amp_c + ppi_c ,"tRNA Charging","Alanyl-tRNA synthetase",b2697
MECDPS,2p4c2me_c  -> 2mecdp_c + cmp_c ,"Cofactor and Prosthetic Group Biosynthesis","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",b2746
MEPCT,2me4p_c + ctp_c + h_c  -> 4c2me_c + ppi_c ,"Cofactor and Prosthetic Group Biosynthesis","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase",b2747
ENO,2pg_c  <=> h2o_c + pep_c ,"Glycolysis/Gluconeogenesis","Enolase",b2779
CTPS2,atp_c + gln__L_c + h2o_c + utp_c  -> adp_c + ctp_c + glu__L_c + 2 h_c + pi_c ,"Purine and Pyrimidine Biosynthesis","CTP synthase (glutamine)",b2780
FBA,fdp_c  <=> g3p_c + dhap_c ,"Glycolysis/Gluconeogenesis","Fructose-bisphosphate aldolase",b2097 or b1773 or b2925
FBA3,s17bp_c  <=> dhap_c + e4p_c ,"Pentose Phosphate Pathway","Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",b2925
PGK,3pg_c + atp_c  <=> 13dpg_c + adp_c ,"Glycolysis/Gluconeogenesis","Phosphoglycerate kinase",b2926
METAT,atp_c + h2o_c + met__L_c  -> amet_c + pi_c + ppi_c ,"Methionine Metabolism","Methionine adenosyltransferase",b2942
AGPAT120,1ddecg3p_c + ddcaACP_c  -> ACP_c + pa120_c ,"Glycerophospholipid Metabolism","1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C12:0)",b3018
AGPAT140,1tdecg3p_c + myrsACP_c  -> ACP_c + pa140_c ,"Glycerophospholipid Metabolism","1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0)",b3018
AGPAT141,1tdec7eg3p_c + tdeACP_c  -> ACP_c + pa141_c ,"Glycerophospholipid Metabolism","1-tetradec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:1)",b3018
AGPAT160,1hdecg3p_c + palmACP_c  -> ACP_c + pa160_c ,"Glycerophospholipid Metabolism","1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0)",b3018
AGPAT161,1hdec9eg3p_c + hdeACP_c  -> ACP_c + pa161_c ,"Glycerophospholipid Metabolism","1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1)",b3018
AGPAT180,1odecg3p_c + ocdcaACP_c  -> ACP_c + pa180_c ,"Glycerophospholipid Metabolism","1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0)",b3018
AGPAT181,1odec11eg3p_c + octeACP_c  -> ACP_c + pa181_c ,"Glycerophospholipid Metabolism","1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1)",b3018
DB4PS,ru5p__D_c  -> db4p_c + for_c + h_c ,"Cofactor and Prosthetic Group Biosynthesis","3,4-Dihydroxy-2-butanone-4-phosphate synthase",b3041
DHNPA2r,dhnpt_c  <=> 6hmhpt_c + gcald_c ,"Cofactor and Prosthetic Group Biosynthesis","Dihydroneopterin aldolase reversible",b3058
DHNPTE,dhnpt_c  <=> dhmpt_c ,"Cofactor and Prosthetic Group Biosynthesis","Dihydroneopterin epimerase",b3058
PGAMT,gam1p_c  <=> gam6p_c ,"Cell Envelope Biosynthesis","Phosphoglucosamine mutase",b3176
OCTDPS,frdp_c + 5 ipdp_c  -> octdp_c + 5 ppi_c ,"Cofactor and Prosthetic Group Biosynthesis","Octaprenyl pyrophosphate synthase",b3187
UAGCVT,pep_c + uacgam_c  -> pi_c + uaccg_c ,"Cell Envelope Biosynthesis","UDP-N-acetylglucosamine 1-carboxyvinyltransferase",b3189
KDOPP,h2o_c + kdo8p_c  -> pi_c + kdo_c ,"Lipopolysaccharide Biosynthesis / Recycling","3-deoxy-manno-octulosonate-8-phosphatase",b3198
